,number,name,type,ability,hidden_ability,gender_ratio,hatch_cycle,egg_group,Base_Experience_Yield,height,weight,leveling_rate,color,base_friendship,category,gen,legendary
145,#0145,Zapdos,Electric / Flying,Pressure,Static,Gender unknown,80cycles,No Eggs Discovered,261.0,1.6,52.6,Slow,Yellow,35.0,Electric Pokemon,1,Yes
146,#0146,Moltres,Fire / Flying,Pressure,Flame Body,Gender unknown,80cycles,No Eggs Discovered,261.0,2.0,60.0,Slow,Yellow,35.0,Flame Pokemon,1,Yes
147,#0147,Dratini,Dragon,Shed Skin,Marvel Scale,"50% male, 50% female",40cycles,Water 1 / Dragon,60.0,1.8,3.3,Slow,Blue,35.0,Dragon Pokémon,1,No
148,#0148,Dragonair,Dragon,Shed Skin,Marvel Scale,"50% male, 50% female",40cycles,Water 1 / Dragon,147.0,4.0,16.5,Slow,Blue,35.0,Dragon Pokémon,1,No
149,#0149,Dragonite,Dragon / Flying,Inner Focus,Multiscale,"50% male, 50% female",40cycles,Water 1 / Dragon,270.0,2.2,210.0,Slow,Brown,35.0,Dragon Pokémon,1,No
150,#0150,Mewtwo,Psychic,Pressure,Unnerve,Gender unknown,120cycles,No Eggs Discovered,306.0,2.0,122.0,Slow,Purple,0.0,Genetic Pokémon,1,Yes
151,#0151,Mew,Psychic,Synchronize,None,Gender unknown,120cycles,No Eggs Discovered,270.0,0.4,4.0,Medium Slow,Pink,100.0,New Species Pokémon,1,Yes
152,#0152,Chikorita,Grass,Overgrow,Leaf Guard,"87.5% male, 12.5% female",20cycles,Monster / Grass,64.0,0.9,6.4,Medium Slow,Green,70.0,Leaf Pokémon,2,No
153,#0153,Bayleef,Grass,Overgrow,Leaf Guard,"87.5% male, 12.5% female",20cycles,Monster / Grass,142.0,1.2,15.8,Medium Slow,Green,70.0,Leaf Pokémon,2,No
154,#0154,Meganium,Grass,Overgrow,Leaf Guard,"87.5% male, 12.5% female",20cycles,Monster / Grass,236.0,1.8,100.5,Medium Slow,Green,70.0,Herb Pokémon,2,No
155,#0155,Cyndaquil,Fire,Blaze,Flash Fire,"87.5% male, 12.5% female",20cycles,Field,62.0,0.5,7.9,Medium Slow,Yellow,70.0,Fire Mouse Pokémon,2,No
156,#0156,Quilava,Fire,Blaze,Flash Fire,"87.5% male, 12.5% female",20cycles,Field,142.0,0.9,19.0,Medium Slow,Yellow,70.0,Volcano Pokémon,2,No
157,#0157,Typhlosion,Fire,Blaze,Flash Fire,"87.5% male, 12.5% female",20cycles,Field,240.0,1.7,79.5,Medium Slow,Yellow,70.0,Volcano Pokemon,2,No
158,#0158,Totodile,Water,Torrent,Sheer Force,"87.5% male, 12.5% female",20cycles,Monster / Water 1,63.0,0.6,9.5,Medium Slow,Blue,70.0,Big Jaw Pokémon,2,No
159,#0159,Croconaw,Water,Torrent,Sheer Force,"87.5% male, 12.5% female",20cycles,Monster / Water 1,142.0,1.1,25.0,Medium Slow,Blue,70.0,Big Jaw Pokémon,2,No
160,#0160,Feraligatr,Water,Torrent,Sheer Force,"87.5% male, 12.5% female",20cycles,Monster / Water 1,239.0,2.3,88.8,Medium Slow,Blue,70.0,Big Jaw Pokémon,2,No
161,#0161,Sentret,Normal,Run Away / Keen Eye,Frisk,"50% male, 50% female",15cycles,Field,43.0,0.8,6.0,Medium Fast,Brown,70.0,Scout Pokémon,2,No
162,#0162,Furret,Normal,Run Away / Keen Eye,Frisk,"50% male, 50% female",15cycles,Field,145.0,1.8,32.5,Medium Fast,Brown,70.0,Long Body Pokémon,2,No
163,#0163,Hoothoot,Normal / Flying,Insomnia / Keen Eye,Tinted Lens,"50% male, 50% female",15cycles,Flying,52.0,0.7,21.2,Medium Fast,Brown,70.0,Owl Pokémon,2,No
164,#0164,Noctowl,Normal / Flying,Insomnia / Keen Eye,Tinted Lens,"50% male, 50% female",15cycles,Flying,158.0,1.6,40.8,Medium Fast,Brown,70.0,Owl Pokémon,2,No
165,#0165,Ledyba,Bug / Flying,Swarm / Early Bird,Rattled,"50% male, 50% female",15cycles,Bug,53.0,1.0,10.8,Fast,Red,70.0,Five Star Pokémon,2,No
166,#0166,Ledian,Bug / Flying,Swarm / Early Bird,Iron Fist,"50% male, 50% female",15cycles,Bug,137.0,1.4,35.6,Fast,Red,70.0,Five Star Pokémon,2,No
167,#0167,Spinarak,Bug / Poison,Swarm / Insomnia,Sniper,"50% male, 50% female",15cycles,Bug,50.0,0.5,8.5,Fast,Green,70.0,String Spit Pokémon,2,No
168,#0168,Ariados,Bug / Poison,Swarm / Insomnia,Sniper,"50% male, 50% female",15cycles,Bug,140.0,1.1,33.5,Fast,Red,70.0,Long Leg Pokémon,2,No
169,#0169,Crobat,Poison / Flying,Inner Focus,Infiltrator,"50% male, 50% female",15cycles,Flying,241.0,1.8,75.0,Medium Fast,Purple,70.0,Bat Pokémon,2,No
170,#0170,Chinchou,Water / Electric,Volt Absorb / Illuminate,Water Absorb,"50% male, 50% female",20cycles,Water 2,66.0,0.5,12.0,Slow,Blue,70.0,Angler Pokémon,2,No
171,#0171,Lanturn,Water / Electric,Volt Absorb / Illuminate,Water Absorb,"50% male, 50% female",20cycles,Water 2,161.0,1.2,22.5,Slow,Blue,70.0,Light Pokémon,2,No
172,#0172,Pichu,Electric,Static,Lightning Rod,"50% male, 50% female",10cycles,No Eggs Discovered,41.0,0.3,2.0,Medium Fast,Yellow,70.0,Tiny Mouse Pokémon,2,No
173,#0173,Cleffa,Fairy,Cute Charm / Magic Guard,Friend Guard,"25% male, 75% female",10cycles,No Eggs Discovered,44.0,0.3,3.0,Fast,Pink,140.0,Star Shape Pokémon,2,No
174,#0174,Igglybuff,Normal / Fairy,Cute Charm / Competitive,Friend Guard,"25% male, 75% female",10cycles,No Eggs Discovered,42.0,0.3,1.0,Fast,Pink,70.0,Balloon Pokémon,2,No
175,#0175,Togepi,Fairy,Hustle / Serene Grace,Super Luck,"87.5% male, 12.5% female",10cycles,No Eggs Discovered,49.0,0.3,1.5,Fast,White,70.0,Spike Ball Pokémon,2,No
176,#0176,Togetic,Fairy / Flying,Hustle / Serene Grace,Super Luck,"87.5% male, 12.5% female",10cycles,Flying / Fairy,142.0,0.6,3.2,Fast,White,70.0,Happiness Pokémon,2,No
177,#0177,Natu,Psychic / Flying,Synchronize / Early Bird,Magic Bounce,"50% male, 50% female",20cycles,Flying,64.0,0.2,2.0,Medium Fast,Green,70.0,Tiny Bird Pokémon,2,No
178,#0178,Xatu,Psychic / Flying,Synchronize / Early Bird,Magic Bounce,"50% male, 50% female",20cycles,Flying,165.0,1.5,15.0,Medium Fast,Green,70.0,Mystic Pokémon,2,No
179,#0179,Mareep,Electric,Static,Plus,"50% male, 50% female",20cycles,Monster / Field,56.0,0.6,7.8,Medium Slow,White,70.0,Wool Pokémon,2,No
180,#0180,Flaaffy,Electric,Static,Plus,"50% male, 50% female",20cycles,Monster / Field,128.0,0.8,13.3,Medium Slow,Pink,70.0,Wool Pokémon,2,No
181,#0181,Ampharos,Electric,Static,Plus,"50% male, 50% female",20cycles,Monster / Field,230.0,1.4,61.5,Medium Slow,Yellow,70.0,Light Pokémon,2,No
182,#0182,Bellossom,Grass,Chlorophyll,Healer,"50% male, 50% female",20cycles,Grass,221.0,0.4,5.8,Medium Slow,Green,70.0,Flower Pokémon,2,No
183,#0183,Marill,Water / Fairy,Thick Fat / Huge Power,Sap Sipper,"50% male, 50% female",10cycles,Water 1 / Fairy,88.0,0.4,8.5,Fast,Blue,70.0,Aqua Mouse Pokémon,2,No
184,#0184,Azumarill,Water / Fairy,Thick Fat / Huge Power,Sap Sipper,"50% male, 50% female",10cycles,Water 1 / Fairy,189.0,0.8,28.5,Fast,Blue,70.0,Aqua Rabbit Pokémon,2,No
185,#0185,Sudowoodo,Rock,Sturdy / Rock Head,Rattled,"50% male, 50% female",20cycles,Mineral,144.0,1.2,38.0,Medium Fast,Brown,70.0,Imitation Pokémon,2,No
186,#0186,Politoed,Water,Water Absorb / Damp,Drizzle,"50% male, 50% female",20cycles,Water 1,225.0,1.1,33.9,Medium Slow,Green,70.0,Frog Pokémon,2,No
187,#0187,Hoppip,Grass / Flying,Chlorophyll / Leaf Guard,Infiltrator,"50% male, 50% female",20cycles,Fairy / Grass,50.0,0.4,0.5,Medium Slow,Pink,70.0,Cottonweed Pokémon,2,No
188,#0188,Skiploom,Grass / Flying,Chlorophyll / Leaf Guard,Infiltrator,"50% male, 50% female",20cycles,Fairy / Grass,119.0,0.6,1.0,Medium Slow,Green,70.0,Cottonweed Pokémon,2,No
189,#0189,Jumpluff,Grass / Flying,Chlorophyll / Leaf Guard,Infiltrator,"50% male, 50% female",20cycles,Fairy / Grass,207.0,0.8,3.0,Medium Slow,Blue,70.0,Cottonweed Pokémon,2,No
190,#0190,Aipom,Normal,Run Away / Pickup,Skill Link,"50% male, 50% female",20cycles,Field,72.0,0.8,11.5,Fast,Purple,70.0,Long Tail Pokémon,2,No
191,#0191,Sunkern,Grass,Chlorophyll / Solar Power,Early Bird,"50% male, 50% female",20cycles,Grass,36.0,0.3,1.8,Medium Slow,Yellow,70.0,Seed Pokémon,2,No
192,#0192,Sunflora,Grass,Chlorophyll / Solar Power,Early Bird,"50% male, 50% female",20cycles,Grass,149.0,0.8,8.5,Medium Slow,Yellow,70.0,Sun Pokémon,2,No
193,#0193,Yanma,Bug / Flying,Speed Boost / Compound Eyes,Frisk,"50% male, 50% female",20cycles,Bug,78.0,1.2,38.0,Medium Fast,Red,70.0,Clear Wing Pokémon,2,No
194,#0194,Wooper,Water / Ground,Damp / Water Absorb,Unaware,"50% male, 50% female",20cycles,Water 1 / Field,42.0,0.4,8.5,Medium Fast,Blue,70.0,Water Fish Pokemon,2,No
195,#0195,Quagsire,Water / Ground,Damp / Water Absorb,Unaware,"50% male, 50% female",20cycles,Water 1 / Field,151.0,1.4,75.0,Medium Fast,Blue,70.0,Water Fish Pokémon,2,No
196,#0196,Espeon,Psychic,Synchronize,Magic Bounce,"87.5% male, 12.5% female",35cycles,Field,184.0,0.9,26.5,Medium Fast,Purple,70.0,Sun Pokémon,2,No
197,#0197,Umbreon,Dark,Synchronize,Inner Focus,"87.5% male, 12.5% female",35cycles,Field,184.0,1.0,27.0,Medium Fast,Black,35.0,Moonlight Pokémon,2,No
198,#0198,Murkrow,Dark / Flying,Insomnia / Super Luck,Prankster,"50% male, 50% female",20cycles,Flying,81.0,0.5,2.1,Medium Slow,Black,35.0,Darkness Pokémon,2,No
199,#0199,Slowking,Water / Psychic,Oblivious / Own Tempo,Regenerator,"50% male, 50% female",20cycles,Monster / Water 1,172.0,2.0,79.5,Medium Fast,Pink,70.0,Royal Pokemon,2,No
200,#0200,Misdreavus,Ghost,Levitate,None,"50% male, 50% female",25cycles,Amorphous,87.0,0.7,1.0,Fast,Gray,35.0,Screech Pokémon,2,No
201,#0201,Unown,Psychic,Levitate,None,Gender unknown,40cycles,No Eggs Discovered,118.0,0.5,5.0,Medium Fast,Black,70.0,Symbol Pokémon,2,No
202,#0202,Wobbuffet,Psychic,Shadow Tag,Telepathy,"50% male, 50% female",20cycles,Amorphous,142.0,1.3,28.5,Medium Fast,Blue,70.0,Patient Pokémon,2,No
203,#0203,Girafarig,Normal / Psychic,Inner Focus / Early Bird,Sap Sipper,"50% male, 50% female",20cycles,Field,159.0,1.5,41.5,Medium Fast,Yellow,70.0,Long Neck Pokémon,2,No
204,#0204,Pineco,Bug,Sturdy,Overcoat,"50% male, 50% female",20cycles,Bug,58.0,0.6,7.2,Medium Fast,Gray,70.0,Bagworm Pokémon,2,No
205,#0205,Forretress,Bug / Steel,Sturdy,Overcoat,"50% male, 50% female",20cycles,Bug,163.0,1.2,125.8,Medium Fast,Purple,70.0,Bagworm Pokémon,2,No
206,#0206,Dunsparce,Normal,Serene Grace / Run Away,Rattled,"50% male, 50% female",20cycles,Field,145.0,1.5,14.0,Medium Fast,Yellow,70.0,Land Snake Pokémon,2,No
207,#0207,Gligar,Ground / Flying,Hyper Cutter / Sand Veil,Immunity,"50% male, 50% female",20cycles,Bug,86.0,1.1,64.8,Medium Slow,Purple,70.0,Fly Scorpion Pokémon,2,No
208,#0208,Steelix,Steel / Ground,Rock Head / Sturdy,Sheer Force,"50% male, 50% female",25cycles,Mineral,179.0,9.2,400.0,Medium Fast,Gray,70.0,Iron Snake Pokémon,2,No
209,#0209,Snubbull,Fairy,Intimidate / Run Away,Rattled,"25% male, 75% female",20cycles,Field / Fairy,60.0,0.6,7.8,Fast,Pink,70.0,Fairy Pokémon,2,No
210,#0210,Granbull,Fairy,Intimidate / Quick Feet,Rattled,"25% male, 75% female",20cycles,Field / Fairy,158.0,1.4,48.7,Fast,Purple,70.0,Fairy Pokémon,2,No
211,#0211,Qwilfish,Water / Poison,Poison Point / Swift Swim,Intimidate,"50% male, 50% female",20cycles,Water 2,88.0,0.5,3.9,Medium Fast,Gray,70.0,Balloon Pokémon,2,No
212,#0212,Scizor,Bug / Steel,Swarm / Technician,Light Metal,"50% male, 50% female",25cycles,Bug,175.0,1.8,118.0,Medium Fast,Red,70.0,Pincer Pokémon,2,No
213,#0213,Shuckle,Bug / Rock,Sturdy / Gluttony,Contrary,"50% male, 50% female",20cycles,Bug,177.0,0.6,20.5,Medium Slow,Yellow,70.0,Mold Pokémon,2,No
214,#0214,Heracross,Bug / Fighting,Swarm / Guts,Moxie,"50% male, 50% female",25cycles,Bug,175.0,1.5,54.0,Slow,Blue,70.0,Single Horn Pokémon,2,No
215,#0215,Sneasel,Dark / Ice,Inner Focus / Keen Eye,Pickpocket,"50% male, 50% female",20cycles,Field,86.0,0.9,28.0,Medium Slow,Black,35.0,Sharp Claw Pokémon,2,No
216,#0216,Teddiursa,Normal,Pickup / Quick Feet,Honey Gather,"50% male, 50% female",20cycles,Field,66.0,0.6,8.8,Medium Fast,Brown,70.0,Little Bear Pokémon,2,No
217,#0217,Ursaring,Normal,Guts / Quick Feet,Unnerve,"50% male, 50% female",20cycles,Field,175.0,1.8,125.8,Medium Fast,Brown,70.0,Hibernator Pokémon,2,No
218,#0218,Slugma,Fire,Magma Armor / Flame Body,Weak Armor,"50% male, 50% female",20cycles,Amorphous,50.0,0.7,35.0,Medium Fast,Red,70.0,Lava Pokémon,2,No
219,#0219,Magcargo,Fire / Rock,Magma Armor / Flame Body,Weak Armor,"50% male, 50% female",20cycles,Amorphous,151.0,0.8,55.0,Medium Fast,Red,70.0,Lava Pokémon,2,No
220,#0220,Swinub,Ice / Ground,Oblivious / Snow Cloak,Thick Fat,"50% male, 50% female",20cycles,Field,50.0,0.4,6.5,Slow,Brown,70.0,Pig Pokémon,2,No
221,#0221,Piloswine,Ice / Ground,Oblivious / Snow Cloak,Thick Fat,"50% male, 50% female",20cycles,Field,158.0,1.1,55.8,Slow,Brown,70.0,Swine Pokémon,2,No
222,#0222,Corsola,Water / Rock,Hustle / Natural Cure,Regenerator,"25% male, 75% female",20cycles,Water 1 / Water 3,144.0,0.6,5.0,Fast,Pink,70.0,Coral Pokémon,2,No
223,#0223,Remoraid,Water,Hustle / Sniper,Moody,"50% male, 50% female",20cycles,Water 1 / Water 2,60.0,0.6,12.0,Medium Fast,Gray,70.0,Jet Pokémon,2,No
224,#0224,Octillery,Water,Suction Cups / Sniper,Moody,"50% male, 50% female",20cycles,Water 1 / Water 2,168.0,0.9,28.5,Medium Fast,Red,70.0,Jet Pokémon,2,No
225,#0225,Delibird,Ice / Flying,Vital Spirit / Hustle,Insomnia,"50% male, 50% female",20cycles,Water 1 / Field,116.0,0.9,16.0,Fast,Red,70.0,Delivery Pokémon,2,No
226,#0226,Mantine,Water / Flying,Swift Swim / Water Absorb,Water Veil,"50% male, 50% female",25cycles,Water 1,170.0,2.1,220.0,Slow,Purple,70.0,Kite Pokémon,2,No
227,#0227,Skarmory,Steel / Flying,Keen Eye / Sturdy,Weak Armor,"50% male, 50% female",25cycles,Flying,163.0,1.7,50.5,Slow,Gray,70.0,Armor Bird Pokémon,2,No
228,#0228,Houndour,Dark / Fire,Early Bird / Flash Fire,Unnerve,"50% male, 50% female",20cycles,Field,66.0,0.6,10.8,Slow,Black,35.0,Dark Pokémon,2,No
229,#0229,Houndoom,Dark / Fire,Early Bird / Flash Fire,Unnerve,"50% male, 50% female",20cycles,Field,175.0,1.4,35.0,Slow,Black,35.0,Dark Pokémon,2,No
230,#0230,Kingdra,Water / Dragon,Swift Swim / Sniper,Damp,"50% male, 50% female",20cycles,Water 1 / Dragon,243.0,1.8,152.0,Medium Fast,Blue,70.0,Dragon Pokémon,2,No
231,#0231,Phanpy,Ground,Pickup,Sand Veil,"50% male, 50% female",20cycles,Field,66.0,0.5,33.5,Medium Fast,Blue,70.0,Long Nose Pokémon,2,No
232,#0232,Donphan,Ground,Sturdy,Sand Veil,"50% male, 50% female",20cycles,Field,175.0,1.1,120.0,Medium Fast,Gray,70.0,Armor Pokémon,2,No
233,#0233,Porygon2,Normal,Trace / Download,Analytic,Gender unknown,20cycles,Mineral,180.0,0.6,32.5,Medium Fast,Red,70.0,Virtual Pokémon,2,No
234,#0234,Stantler,Normal,Intimidate / Frisk,Sap Sipper,"50% male, 50% female",20cycles,Field,163.0,1.4,71.2,Slow,Brown,70.0,Big Horn Pokémon,2,No
235,#0235,Smeargle,Normal,Own Tempo / Technician,Moody,"50% male, 50% female",20cycles,Field,88.0,1.2,58.0,Fast,White,70.0,Painter Pokémon,2,No
236,#0236,Tyrogue,Fighting,Guts / Steadfast,Vital Spirit,100% male,25cycles,No Eggs Discovered,42.0,0.7,21.0,Medium Fast,Purple,70.0,Scuffle Pokémon,2,No
237,#0237,Hitmontop,Fighting,Intimidate / Technician,Steadfast,100% male,25cycles,Human-Like,159.0,1.4,48.0,Medium Fast,Brown,70.0,Handstand Pokémon,2,No
238,#0238,Smoochum,Ice / Psychic,Oblivious / Forewarn,Hydration,100% female,25cycles,No Eggs Discovered,61.0,0.4,6.0,Medium Fast,Pink,70.0,Kiss Pokémon,2,No
239,#0239,Elekid,Electric,Static,Vital Spirit,"75% male, 25% female",25cycles,No Eggs Discovered,72.0,0.6,23.5,Medium Fast,Yellow,70.0,Electric Pokémon,2,No
240,#0240,Magby,Fire,Flame Body,Vital Spirit,"75% male, 25% female",25cycles,No Eggs Discovered,73.0,0.7,21.4,Medium Fast,Red,70.0,Live Coal Pokémon,2,No
241,#0241,Miltank,Normal,Thick Fat / Scrappy,Sap Sipper,100% female,20cycles,Field,172.0,1.2,75.5,Slow,Pink,70.0,Milk Cow Pokémon,2,No
242,#0242,Blissey,Normal,Natural Cure / Serene Grace,Healer,100% female,40cycles,Fairy,635.0,1.5,46.8,Fast,Pink,140.0,Happiness Pokémon,2,No
243,#0243,Raikou,Electric,Pressure,Inner Focus,Gender unknown,80cycles,No Eggs Discovered,261.0,1.9,178.0,Slow,Yellow,35.0,Thunder Pokémon,2,Yes
244,#0244,Entei,Fire,Pressure,Inner Focus,Gender unknown,80cycles,No Eggs Discovered,261.0,2.1,198.0,Slow,Brown,35.0,Volcano Pokémon,2,Yes
245,#0245,Suicune,Water,Pressure,Inner Focus,Gender unknown,80cycles,No Eggs Discovered,261.0,2.0,187.0,Slow,Blue,35.0,Aurora Pokémon,2,Yes
246,#0246,Larvitar,Rock / Ground,Guts,Sand Veil,"50% male, 50% female",40cycles,Monster,60.0,0.6,72.0,Slow,Green,35.0,Rock Skin Pokémon,2,No
247,#0247,Pupitar,Rock / Ground,Shed Skin,None,"50% male, 50% female",40cycles,Monster,144.0,1.2,152.0,Slow,Gray,35.0,Hard Shell Pokémon,2,No
248,#0248,Tyranitar,Rock / Dark,Sand Stream,Unnerve,"50% male, 50% female",40cycles,Monster,270.0,2.0,202.0,Slow,Green,35.0,Armor Pokémon,2,No
249,#0249,Lugia,Psychic / Flying,Pressure,Multiscale,Gender unknown,120cycles,No Eggs Discovered,306.0,5.2,216.0,Slow,White,0.0,Diving Pokémon,2,Yes
250,#0250,Ho-Oh,Fire / Flying,Pressure,Regenerator,Gender unknown,120cycles,No Eggs Discovered,306.0,3.8,199.0,Slow,Red,0.0,Rainbow Pokémon,2,Yes
251,#0251,Celebi,Psychic / Grass,Natural Cure,None,Gender unknown,120cycles,No Eggs Discovered,270.0,0.6,5.0,Medium Slow,Green,100.0,Time Travel Pokémon,2,Yes
252,#0252,Treecko,Grass,Overgrow,Unburden,"87.5% male, 12.5% female",20cycles,Monster / Dragon,62.0,0.5,5.0,Medium Slow,Green,70.0,Wood Gecko Pokémon,3,No
253,#0253,Grovyle,Grass,Overgrow,Unburden,"87.5% male, 12.5% female",20cycles,Monster / Dragon,142.0,0.9,21.6,Medium Slow,Green,70.0,Wood Gecko Pokémon,3,No
254,#0254,Sceptile,Grass,Overgrow,Unburden,"87.5% male, 12.5% female",20cycles,Monster / Dragon,239.0,1.7,52.2,Medium Slow,Green,70.0,Forest Pokémon,3,No
255,#0255,Torchic,Fire,Blaze,Speed Boost,"87.5% male, 12.5% female",20cycles,Field,62.0,0.4,2.5,Medium Slow,Red,70.0,Chick Pokémon,3,No
256,#0256,Combusken,Fire / Fighting,Blaze,Speed Boost,"87.5% male, 12.5% female",20cycles,Field,142.0,0.9,19.5,Medium Slow,Red,70.0,Young Fowl Pokémon,3,No
257,#0257,Blaziken,Fire / Fighting,Blaze,Speed Boost,"87.5% male, 12.5% female",20cycles,Field,239.0,1.9,52.0,Medium Slow,Red,70.0,Blaze Pokémon,3,No
258,#0258,Mudkip,Water,Torrent,Damp,"87.5% male, 12.5% female",20cycles,Monster / Water 1,62.0,0.4,7.6,Medium Slow,Blue,70.0,Mud Fish Pokémon,3,No
259,#0259,Marshtomp,Water / Ground,Torrent,Damp,"87.5% male, 12.5% female",20cycles,Monster / Water 1,142.0,0.7,28.0,Medium Slow,Blue,70.0,Mud Fish Pokémon,3,No
260,#0260,Swampert,Water / Ground,Torrent,Damp,"87.5% male, 12.5% female",20cycles,Monster / Water 1,241.0,1.5,81.9,Medium Slow,Blue,70.0,Mud Fish Pokémon,3,No
261,#0261,Poochyena,Dark,Run Away / Quick Feet,Rattled,"50% male, 50% female",15cycles,Field,56.0,0.5,13.6,Medium Fast,Gray,70.0,Bite Pokémon,3,No
262,#0262,Mightyena,Dark,Intimidate / Quick Feet,Moxie,"50% male, 50% female",15cycles,Field,147.0,1.0,37.0,Medium Fast,Gray,70.0,Bite Pokémon,3,No
263,#0263,Zigzagoon,Normal,Pickup / Gluttony,Quick Feet,"50% male, 50% female",15cycles,Field,56.0,0.4,17.5,Medium Fast,Brown,70.0,Tiny Raccoon Pokémon,3,No
264,#0264,Linoone,Normal,Pickup / Gluttony,Quick Feet,"50% male, 50% female",15cycles,Field,147.0,0.5,32.5,Medium Fast,White,70.0,Rushing Pokémon,3,No
265,#0265,Wurmple,Bug,Shield Dust,Run Away,"50% male, 50% female",15cycles,Bug,56.0,0.3,3.6,Medium Fast,Red,70.0,Worm Pokémon,3,No
266,#0266,Silcoon,Bug,Shed Skin,None,"50% male, 50% female",15cycles,Bug,72.0,0.6,10.0,Medium Fast,White,70.0,Cocoon Pokémon,3,No
267,#0267,Beautifly,Bug / Flying,Swarm,Rivalry,"50% male, 50% female",15cycles,Bug,178.0,1.0,28.4,Medium Fast,Yellow,70.0,Butterfly Pokémon,3,No
268,#0268,Cascoon,Bug,Shed Skin,None,"50% male, 50% female",15cycles,Bug,72.0,0.7,11.5,Medium Fast,Purple,70.0,Cocoon Pokémon,3,No
269,#0269,Dustox,Bug / Poison,Shield Dust,Compound Eyes,"50% male, 50% female",15cycles,Bug,173.0,1.2,31.6,Medium Fast,Green,70.0,Poison Moth Pokémon,3,No
270,#0270,Lotad,Water / Grass,Swift Swim / Rain Dish,Own Tempo,"50% male, 50% female",15cycles,Water 1 / Grass,44.0,0.5,2.6,Medium Slow,Green,70.0,Water Weed Pokémon,3,No
271,#0271,Lombre,Water / Grass,Swift Swim / Rain Dish,Own Tempo,"50% male, 50% female",15cycles,Water 1 / Grass,119.0,1.2,32.5,Medium Slow,Green,70.0,Jolly Pokémon,3,No
272,#0272,Ludicolo,Water / Grass,Swift Swim / Rain Dish,Own Tempo,"50% male, 50% female",15cycles,Water 1 / Grass,216.0,1.5,55.0,Medium Slow,Green,70.0,Carefree Pokémon,3,No
273,#0273,Seedot,Grass,Chlorophyll / Early Bird,Pickpocket,"50% male, 50% female",15cycles,Field / Grass,44.0,0.5,4.0,Medium Slow,Brown,70.0,Acorn Pokémon,3,No
274,#0274,Nuzleaf,Grass / Dark,Chlorophyll / Early Bird,Pickpocket,"50% male, 50% female",15cycles,Field / Grass,119.0,1.0,28.0,Medium Slow,Brown,70.0,Wily Pokémon,3,No
275,#0275,Shiftry,Grass / Dark,Chlorophyll / Wind Rider,Pickpocket,"50% male, 50% female",15cycles,Field / Grass,216.0,1.3,59.6,Medium Slow,Brown,70.0,Wicked Pokémon,3,No
276,#0276,Taillow,Normal / Flying,Guts,Scrappy,"50% male, 50% female",15cycles,Flying,54.0,0.3,2.3,Medium Slow,Blue,70.0,Tiny Swallow Pokémon,3,No
277,#0277,Swellow,Normal / Flying,Guts,Scrappy,"50% male, 50% female",15cycles,Flying,159.0,0.7,19.8,Medium Slow,Blue,70.0,Swallow Pokémon,3,No
278,#0278,Wingull,Water / Flying,Keen Eye / Hydration,Rain Dish,"50% male, 50% female",20cycles,Water 1 / Flying,54.0,0.6,9.5,Medium Fast,White,70.0,Seagull Pokémon,3,No
279,#0279,Pelipper,Water / Flying,Keen Eye / Drizzle,Rain Dish,"50% male, 50% female",20cycles,Water 1 / Flying,154.0,1.2,28.0,Medium Fast,Yellow,70.0,Water Bird Pokémon,3,No
280,#0280,Ralts,Psychic / Fairy,Synchronize / Trace,Telepathy,"50% male, 50% female",20cycles,Human-Like / Amorphous,40.0,0.4,6.6,Slow,White,35.0,Feeling Pokémon,3,No
281,#0281,Kirlia,Psychic / Fairy,Synchronize / Trace,Telepathy,"50% male, 50% female",20cycles,Human-Like / Amorphous,97.0,0.8,20.2,Slow,White,35.0,Emotion Pokémon,3,No
282,#0282,Gardevoir,Psychic / Fairy,Synchronize / Trace,Telepathy,"50% male, 50% female",20cycles,Human-Like / Amorphous,233.0,1.6,48.4,Slow,White,35.0,Embrace Pokémon,3,No
283,#0283,Surskit,Bug / Water,Swift Swim,Rain Dish,"50% male, 50% female",15cycles,Water 1 / Bug,54.0,0.5,1.7,Medium Fast,Blue,70.0,Pond Skater Pokémon,3,No
284,#0284,Masquerain,Bug / Flying,Intimidate,Unnerve,"50% male, 50% female",15cycles,Water 1 / Bug,159.0,0.8,3.6,Medium Fast,Blue,70.0,Eyeball Pokémon,3,No
285,#0285,Shroomish,Grass,Effect Spore / Poison Heal,Quick Feet,"50% male, 50% female",15cycles,Fairy / Grass,59.0,0.4,4.5,Fluctuating,Brown,70.0,Mushroom Pokémon,3,No
286,#0286,Breloom,Grass / Fighting,Effect Spore / Poison Heal,Technician,"50% male, 50% female",15cycles,Fairy / Grass,161.0,1.2,39.2,Fluctuating,Green,70.0,Mushroom Pokémon,3,No
287,#0287,Slakoth,Normal,Truant,None,"50% male, 50% female",15cycles,Field,56.0,0.8,24.0,Slow,Brown,70.0,Slacker Pokémon,3,No
288,#0288,Vigoroth,Normal,Vital Spirit,None,"50% male, 50% female",15cycles,Field,154.0,1.4,46.5,Slow,White,70.0,Wild Monkey Pokémon,3,No
289,#0289,Slaking,Normal,Truant,None,"50% male, 50% female",15cycles,Field,252.0,2.0,130.5,Slow,Brown,70.0,Lazy Pokémon,3,No
290,#0290,Nincada,Bug / Ground,Compound Eyes,Run Away,"50% male, 50% female",15cycles,Bug,53.0,0.5,5.5,Erratic,Gray,70.0,Trainee Pokémon,3,No
